"Test","Batch","Maquina","Usuario","Descripcion","Accion","Elemento","Valor","Tiempo (ms)","Tiempo (s)","Tiempo (min)","Estado","Error Type","Error Message","Origen Error","Archivo Origen"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| CUNDINAMARCA | ZIPAQUIRA | NO | NO | HOGARES | REVISION Y REDACCION DE CONTRATOS |","Ejecuta","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| CUNDINAMARCA | ZIPAQUIRA | NO | NO | HOGARES | REVISION Y REDACCION DE CONTRATOS |","N/A","92305","92,30","1,538","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Abrir Caso Express, seleccionar asistencia, entrar al iframe, habilitar y diligenciar en orden","Otra","N/A","N/A","91774","91,77","1,53","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara clicks on Boton Caso Express / Express Case","Click/Selecciona","Boton Caso Express / Express Case","N/A","1224","1,22","0,02","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara clicks on Formulario CreaciÃ³n de Casos (ASISTENCIA)","Click/Selecciona","Formulario CreaciÃ³n de Casos (ASISTENCIA)","N/A","621","0,62","0,01","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","3400","3,40","0,057","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara fill caso express form in order","Completa","Sara fill caso express form in order","N/A","66676","66,68","1,111","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'Calle 86 # 73-56' into DirecciÃ³n servicio","Escribe","DirecciÃ³n servicio","Calle 86 # 73-56","1028","1,03","0,017","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'Avenida Carrera 39 # 66-26' into DirecciÃ³n del destino","Escribe","DirecciÃ³n del destino","Avenida Carrera 39 # 66-26","515","0,52","0,009","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'Barrio Granada, Apt. 64' into Detalle direcciÃ³n destino","Escribe","Detalle direcciÃ³n destino","Barrio Granada, Apt. 64","941","0,94","0,016","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'Barrio La Soledad, Torre F' into Detalle direcciÃ³n servicio","Escribe","Detalle direcciÃ³n servicio","Barrio La Soledad, Torre F","1451","1,45","0,024","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'Suzuki' into Marca vehÃ­culo","Escribe","Marca vehÃ­culo","Suzuki","808","0,81","0,013","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'produccion' into UbicaciÃ³n servicio","Escribe","UbicaciÃ³n servicio","produccion","584","0,58","0,01","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters 'OBS-115986424651552' into ObservaciÃ³n final del caso","Escribe","ObservaciÃ³n final del caso","OBS-115986424651552","762","0,76","0,013","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara clicks on Guardar Formulario","Click/Selecciona","Guardar Formulario","N/A","1220","1,22","0,02","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","Ejecuta","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","N/A","91187","91,19","1,52","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Gestionar proveedor: abrir tab, crear, seleccionar nombre/respuesta y guardar","Otra","N/A","N/A","91147","91,15","1,519","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","560","0,56","0,009","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara enters '60' into Tiempo Monitoreo Sitio (Minutos)","Escribe","Tiempo Monitoreo Sitio (Minutos)","60","491","0,49","0,008","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara clicks on Guardar Proveedor","Click/Selecciona","Guardar Proveedor","N/A","649","0,65","0,011","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara click guardar en iframe","Click/Selecciona","guardar en iframe","N/A","11896","11,90","0,198","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","And transicionamos los estados del caso","Ejecuta","And transicionamos los estados del caso","N/A","107819","107,82","1,797","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Transicionar caso adaptativo: detecta ruta y ejecuta secuencia correcta","Otra","N/A","N/A","107798","107,80","1,797","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara click estado programado","Click/Selecciona","estado programado","N/A","21935","21,94","0,366","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara click estado aceptado desplazamiento","Click/Selecciona","estado aceptado desplazamiento","N/A","19085","19,08","0,318","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara click estado concluido","Click/Selecciona","estado concluido","N/A","17681","17,68","0,295","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Sara click estado finalizado","Click/Selecciona","estado finalizado","N/A","17436","17,44","0,291","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","And Se valida que quede en estado ""Abierto""","Ejecuta","And Se valida que quede en estado ""Abierto""","N/A","300","0,30","0,005","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","PORTFLEX05M","yessica.pabon","Validar que el caso quede en estado 'Sara'","Otra","N/A","N/A","280","0,28","0,005","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Given el actor tiene un navegador disponible","Ejecuta","Given el actor tiene un navegador disponible","N/A","5","0,00","0","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","When abre la pagina de casos","Ejecuta","When abre la pagina de casos","N/A","15791","15,79","0,263","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Abre la pagina de casos","Otra","N/A","N/A","12862","12,86","0,214","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","12811","12,81","0,214","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And realiza login con credenciales","Ejecuta","And realiza login con credenciales","N/A","42796","42,80","0,713","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Login con Cognito usando credenciales","Ejecuta","Login con Cognito usando credenciales","N/A","42778","42,78","0,713","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","2602","2,60","0,043","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'pruebas4' into Campo de usuario de Cognito","Escribe","Campo de usuario de Cognito","pruebas4","4815","4,82","0,08","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on BotÃ³n siguiente de Cognito","Click/Selecciona","BotÃ³n siguiente de Cognito","N/A","1887","1,89","0,031","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Wd9$M3pT7@' into Campo de contraseÃ±a de Cognito","Escribe","Campo de contraseÃ±a de Cognito","Wd9$M3pT7@","2323","2,32","0,039","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on BotÃ³n continuar de Cognito","Click/Selecciona","BotÃ³n continuar de Cognito","N/A","1148","1,15","0,019","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And navega a agent","Ejecuta","And navega a agent","N/A","28764","28,76","0,479","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Navega a la pagina de agent","Otra","N/A","N/A","28737","28,74","0,479","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara opens the browser at https://asistenciaapp.kit.sura-konecta.com/agent","Abre","https://asistenciaapp.kit.sura-konecta.com/agent","N/A","3149","3,15","0,052","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| SUCRE | SINCELEJO | NO | NO | AUTOS | DESPLAZAMIENTO VIAJERO |","Ejecuta","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| SUCRE | SINCELEJO | NO | NO | AUTOS | DESPLAZAMIENTO VIAJERO |","N/A","97481","97,48","1,625","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Abrir Caso Express, seleccionar asistencia, entrar al iframe, habilitar y diligenciar en orden","Otra","N/A","N/A","97448","97,45","1,624","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on Boton Caso Express / Express Case","Click/Selecciona","Boton Caso Express / Express Case","N/A","2366","2,37","0,039","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on Formulario CreaciÃ³n de Casos (ASISTENCIA)","Click/Selecciona","Formulario CreaciÃ³n de Casos (ASISTENCIA)","N/A","841","0,84","0,014","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","4869","4,87","0,081","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara fill caso express form in order","Completa","Sara fill caso express form in order","N/A","68849","68,85","1,147","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Calle 18 # 59-26' into DirecciÃ³n servicio","Escribe","DirecciÃ³n servicio","Calle 18 # 59-26","1042","1,04","0,017","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Carrera 70 # 3-75' into DirecciÃ³n del destino","Escribe","DirecciÃ³n del destino","Carrera 70 # 3-75","1134","1,13","0,019","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Barrio NormandÃ­a, Apt. 43' into Detalle direcciÃ³n destino","Escribe","Detalle direcciÃ³n destino","Barrio NormandÃ­a, Apt. 43","1090","1,09","0,018","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Barrio El Campestre, Torre A' into Detalle direcciÃ³n servicio","Escribe","Detalle direcciÃ³n servicio","Barrio El Campestre, Torre A","1287","1,29","0,021","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'Suzuki' into Marca vehÃ­culo","Escribe","Marca vehÃ­culo","Suzuki","741","0,74","0,012","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'produccion' into UbicaciÃ³n servicio","Escribe","UbicaciÃ³n servicio","produccion","1059","1,06","0,018","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters 'OBS-848473652585264' into ObservaciÃ³n final del caso","Escribe","ObservaciÃ³n final del caso","OBS-848473652585264","821","0,82","0,014","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on Guardar Formulario","Click/Selecciona","Guardar Formulario","N/A","1480","1,48","0,025","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","Ejecuta","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","N/A","89261","89,26","1,488","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Gestionar proveedor: abrir tab, crear, seleccionar nombre/respuesta y guardar","Otra","N/A","N/A","89211","89,21","1,487","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","645","0,64","0,011","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara enters '60' into Tiempo Monitoreo Sitio (Minutos)","Escribe","Tiempo Monitoreo Sitio (Minutos)","60","614","0,61","0,01","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara clicks on Guardar Proveedor","Click/Selecciona","Guardar Proveedor","N/A","396","0,40","0,007","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara click guardar en iframe","Click/Selecciona","guardar en iframe","N/A","11374","11,37","0,19","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And transicionamos los estados del caso","Ejecuta","And transicionamos los estados del caso","N/A","109618","109,62","1,827","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Transicionar caso adaptativo: detecta ruta y ejecuta secuencia correcta","Otra","N/A","N/A","109569","109,57","1,826","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara click estado programado","Click/Selecciona","estado programado","N/A","18022","18,02","0,3","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara click estado aceptado desplazamiento","Click/Selecciona","estado aceptado desplazamiento","N/A","17156","17,16","0,286","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara click estado concluido","Click/Selecciona","estado concluido","N/A","17572","17,57","0,293","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Sara click estado finalizado","Click/Selecciona","estado finalizado","N/A","17283","17,28","0,288","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","And Se valida que quede en estado ""Abierto""","Ejecuta","And Se valida que quede en estado ""Abierto""","N/A","857","0,86","0,014","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","PORTFLEX05M","yessica.pabon","Validar que el caso quede en estado 'Sara'","Otra","N/A","N/A","821","0,82","0,014","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Given el actor tiene un navegador disponible","Ejecuta","Given el actor tiene un navegador disponible","N/A","2","0,00","0","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","When abre la pagina de casos","Ejecuta","When abre la pagina de casos","N/A","13977","13,98","0,233","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Abre la pagina de casos","Otra","N/A","N/A","13949","13,95","0,232","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","13919","13,92","0,232","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","And realiza login con credenciales","Ejecuta","And realiza login con credenciales","N/A","26881","26,88","0,448","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Login con Cognito usando credenciales","Ejecuta","Login con Cognito usando credenciales","N/A","26863","26,86","0,448","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","1409","1,41","0,023","SUCCESS","","","","step_details_20260619_140019.xlsx"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","PORTFLEX05M","yessica.pabon","Sara enters 'pruebas33' into Campo de usuario de Cognito","Escribe","Campo de usuario de Cognito","pruebas33","1104","1,10","0,018","SUCCESS","","","","step_details_20260619_140019.xlsx"
